sPort|   Records|
 2998|         4|
 1071|         6|
 5214|         5|
34943|         1|
 3918|         5|
 3211|         6|
 2009|         4|
 3476|         5|
 2260|         7|
 1010|         4|
 1102|         5|
 3301|         6|
 1060|         7|
 2800|         6|
 1234|         6|
 1236|         6|
 1117|         6|
  514|         6|
 9929|         6|
 5353|         7|
 1061|         5|
 2608|         5|
39546|         1|
32773|         7|
 3367|         8|
 5555|         4|
 5859|         6|
 7911|         6|
21571|         4|
15660|         5|
 6106|         5|
 4002|         5|
 7741|         4|
 1201|         5|
 1322|         6|
24444|         5|
 1131|         6|
39496|         1|
  143|         6|
 2809|         7|
27352|         6|
 5280|         5|
  691|         4|
 1002|         5|
 5800|         6|
 1310|         4|
 1147|         4|
  306|         5|
  135|        13|
  444|         4|
 3493|         5|
 1216|         5|
39516|         1|
49154|         5|
 2393|         5|
 1935|         4|
39682|         1|
 3071|         5|
56713|         2|
34958|         1|
 1078|         4|
49153|         5|
 1105|         7|
 1183|         5|
  543|         5|
 3283|         7|
  119|         4|
 9503|         6|
  546|         3|
  179|         6|
  898|         4|
 7402|         4|
 1024|         4|
 1085|         5|
 3404|         6|
 1082|         5|
  999|         4|
10617|         5|
34953|         1|
18988|         6|
 1782|         5|
50083|         1|
   17|         5|
 3784|         4|
 2121|         4|
39644|         1|
 6156|         4|
 3551|         5|
 3920|         4|
 1098|         4|
 7800|         4|
 6792|         6|
  222|         4|
 1233|         7|
34932|      1015|
56760|         2|
35000|         1|
50800|         4|
 8093|         5|
  512|         5|
 1095|         5|
 9101|         5|
26214|         6|
55600|         4|
48198|         1|
 7625|         5|
 6389|         7|
55664|         1|
 4045|         4|
 5925|         9|
 8400|         5|
 3889|         6|
17988|         5|
 7999|         5|
 1022|         5|
11967|         5|
   82|         6|
 1218|         5|
 1151|         5|
64062|         1|
 5950|         5|
 4000|         5|
 5959|         5|
 7920|         7|
  593|         4|
 6100|         7|
48080|         4|
 3300|         5|
 9099|         4|
 1096|         4|
   49|         5|
 1247|         5|
28201|         5|
 1033|         4|
 1812|         4|
 6003|         4|
49160|         5|
